Package;Shape;W;L;H;Ang1;Ang2;Ang3;Sh X;Sh Y;Sh Z;
0603;CC0603;;;;;;;;;;
0603long;CC0603;;;;;;;;;;
0805;CC0805;;;;;;;0,00;;;
10SIP100;2SIP100;;;;;;;;;;
10SIP100;2SIP100;;;;;;;10,16;;;
10SIP100;2SIP100;;;;;;;15,24;;;
10SIP100;2SIP100;;;;;;;20,32;;;
10SIP100;2SIP100;;;;;;;5,08;;;
1206;Rect;3,10;1,60;0,55;;;;;;;
12DIP79;mDip79;;;;;;;0,00;1,00;0,00;
12DIP79;mDip79;;;;;;;4,00;1,00;0,00;
12DIP79;mDip79;;;;;;;-4,00;1,00;0,00;
1812;Rect;4,5;3,2;1,7;;;;0,00;;;
2SIP100;Rect;0,60;0,60;8,00;;;;;;-2,00;
2SIP100;Rect;0,60;0,60;8,00;;;;2,54;;-2,00;
2SIP100;Rect;5,05;2,55;2,55;;;;1,25;0,00;;
32768;mDPin;2,10;-0,25;1,20;-15;;;;0,00;;
32768;mDPin;2,10;-0,25;1,20;15;;;0,00;-2,50;;
32768;Oval;2,15;2,15;8;0;90;;1,75;-1,25;1,10;
3300uF;oval;10,8;10,8;30;0;0;;2,50;;;
3Dtrap;mTrap;1,50;1,00;;;-45,00;;;0,00;;
470X16V;Oval;8,1;8,1;12;0;0;;;;;
4DIP79;Rect;5;4;1;0;0;;0;0,00;6;
4DIP79;Rect;6;4,5;6;0;0;;0;0,00;;
6403892;Arc;1,1;1,1;1,1;90;90;;1,45;-0,55;2,5;
6403892;Arc;1,1;1,1;1,1;90;90;;-2,55;-0,55;2,5;
6403892;Rect;1,1;1,1;5,7;;;;2;;-3,2;
6403892;Rect;1,1;1,1;5,7;;;;-2;;-3,2;
6403892;Rect;1,1;19;1,1;;;;2;-10,05;2,5;
6403892;Rect;1,1;19;1,1;;;;-2;-10,05;2,5;
6403892;Rect;8;16,8;6,4;;;;0,00;-17,20;-0,70;
6403892;Rect;8;3,4;7,5;;;;;-7;;
6SIP100;2SIP100;;;;;;;;;;
6SIP100;2SIP100;;;;;;;10,16;;;
6SIP100;2SIP100;;;;;;;5,08;;;
8DIP79;Rect;10;4,5;6;;;;;0,25;;
8DIP79;Rect;9;4;1;;;;;0,25;6,00;
ABM3;Rect;4,45;2,95;0,7;;;;;;0,6;
ABM3;Rect;5;3,2;0,6;;;;;;;
AD8231;Rect;4,1;4,1;0,8;;;;0,00;0,00;;
ADXL1001BCPZ*;RndQ;5,00;5,00;1,50;;;;1,80;1,80;;
ADXL343M1;LIS202;;;;;;;;;;
APTR3216QBCD;L1154RY;;;;;;;;;0,00;
ATYPE;Rect;3,5;1,8;1,7;;;;;;;
B2BPHKS;B2BPINS;;;;;;;5,00;;;
B2BPHKS;Rect;6,00;3,90;0,65;;;;0,00;-0,55;6,00;
B2BPHKS;Silk;0,00;;6,00;;;;0,00;;;
B2BPHKS1;Rect;6;4,7;6;;;;-1;0,45;;
B2BPINS;Rect;0,60;0,60;10,00;;;;-4,00;;-2,50;
B2BPINS;Rect;0,60;0,60;10,00;;;;-6,00;;-2,50;
B3BPHKS;Rect;0,60;0,60;10,00;;;;;;-2,50;
B3BPHKS;Rect;0,60;0,60;10,00;;;;-2,00;;-2,50;
B3BPHKS;Rect;0,60;0,60;10,00;;;;-4,00;;-2,50;
B3BPHKS;Rect;8,00;4,70;6,00;;;;-2,00;0,45;;
B4B;B2BPINS;;;;;;;;;;
B4B;B2BPINS;;;;;;;4,00;0,00;;
B4B;Rect;10,00;4,70;6,00;;;;-3,00;0,45;;
B4BPHKS;B4B;;;;180,00;;;-1,00;0,00;;
B5BPHKS;Silk;;;6,00;;;;;;;
B5BPHKS2;B5BPHKS;;;;;;;;;;
BLM41;Rect;4,50;1,60;1,60;;;;;;;
BNC;Oval;12,5;12,5;9,5;90;90;;;;5;
BNC;Oval;9,6;9,6;12,2;90;90;;;9,5;5;
BNC;Rect;15;14;11,3;;;;;-7;;
bncimp;bnc;;;;;;;;;;
BNCJ;Oval;12,50;12,5;8,8;;0;;;0,00;14,5;
BNCJ;Oval;9,6;9,6;11,9;;;;;;23,30;
BNCJ;Rect;15;15;14,5;;;;;;;
BNCJR;BNCJ;;;;0,00;0,00;90,00;0,00;-13,75;7,50;
BO9864BFPHH$;Arc;11;0,5;4,5;-90;-90;;32,3;-15,25;3;
BO9864BFPHH$;Arc;3;0,5;4,5;-85;90;;27,8;-15,25;2,95;
BO9864BFPHH$;Arc;3;0,5;4,5;85;-90;;32,3;-10,3;2,35;
BO9864BFPHH$;Arc;3;0,5;4,5;95;90;;27,8;-10,3;2,4;
BO9864BFPHH$;Arc;3;0,5;4,5;-95;-90;;32,3;-15,15;0,9;
