LAYER_L;BLK_NAME;W_L;X1;Y1;X2;Y2;
0;;0;6.82089e+07;2.25959e+08;6.69589e+07;2.25959e+08;
0;;0;6.82089e+07;2.25109e+08;6.82089e+07;2.25959e+08;
0;;0;6.69589e+07;2.25109e+08;6.82089e+07;2.25109e+08;
0;;0;6.69589e+07;2.25959e+08;6.69589e+07;2.25109e+08;
0;;0;8.06839e+07;2.25534e+08;8.06611e+07;2.25795e+08;
0;;0;8.06611e+07;2.25795e+08;8.05934e+07;2.26047e+08;
0;;0;8.05934e+07;2.26047e+08;8.04829e+07;2.26284e+08;
0;;0;8.04829e+07;2.26284e+08;8.0333e+07;2.26498e+08;
0;;0;8.0333e+07;2.26498e+08;8.01481e+07;2.26683e+08;
0;;0;8.01481e+07;2.26683e+08;7.99339e+07;2.26833e+08;
0;;0;7.99339e+07;2.26833e+08;7.96969e+07;2.26944e+08;
0;;0;7.96969e+07;2.26944e+08;7.94444e+07;2.27011e+08;
0;;0;7.94444e+07;2.27011e+08;7.91839e+07;2.27034e+08;
0;;0;7.91839e+07;2.27034e+08;7.89234e+07;2.27011e+08;
0;;0;7.89234e+07;2.27011e+08;7.86709e+07;2.26944e+08;
0;;0;7.86709e+07;2.26944e+08;7.84339e+07;2.26833e+08;
0;;0;7.84339e+07;2.26833e+08;7.82197e+07;2.26683e+08;
0;;0;7.82197e+07;2.26683e+08;7.80348e+07;2.26498e+08;
0;;0;7.80348e+07;2.26498e+08;7.78849e+07;2.26284e+08;
0;;0;7.78849e+07;2.26284e+08;7.77744e+07;2.26047e+08;
0;;0;7.77744e+07;2.26047e+08;7.77067e+07;2.25795e+08;
0;;0;7.77067e+07;2.25795e+08;7.76839e+07;2.25534e+08;
0;;0;7.76839e+07;2.25534e+08;7.77067e+07;2.25274e+08;
0;;0;7.77067e+07;2.25274e+08;7.77744e+07;2.25021e+08;
0;;0;7.77744e+07;2.25021e+08;7.78849e+07;2.24784e+08;
0;;0;7.78849e+07;2.24784e+08;7.80348e+07;2.2457e+08;
0;;0;7.80348e+07;2.2457e+08;7.82197e+07;2.24385e+08;
0;;0;7.82197e+07;2.24385e+08;7.84339e+07;2.24235e+08;
0;;0;7.84339e+07;2.24235e+08;7.86709e+07;2.24125e+08;
0;;0;7.86709e+07;2.24125e+08;7.89234e+07;2.24057e+08;
0;;0;7.89234e+07;2.24057e+08;7.91839e+07;2.24034e+08;
0;;0;7.91839e+07;2.24034e+08;7.94444e+07;2.24057e+08;
0;;0;7.94444e+07;2.24057e+08;7.96969e+07;2.24125e+08;
0;;0;7.96969e+07;2.24125e+08;7.99339e+07;2.24235e+08;
0;;0;7.99339e+07;2.24235e+08;8.01481e+07;2.24385e+08;
0;;0;8.01481e+07;2.24385e+08;8.0333e+07;2.2457e+08;
0;;0;8.0333e+07;2.2457e+08;8.04829e+07;2.24784e+08;
0;;0;8.04829e+07;2.24784e+08;8.05934e+07;2.25021e+08;
0;;0;8.05934e+07;2.25021e+08;8.06611e+07;2.25274e+08;
0;;0;8.06611e+07;2.25274e+08;8.06839e+07;2.25534e+08;
0;;0;8.21839e+07;2.28784e+08;7.61839e+07;2.28784e+08;
0;;0;7.61839e+07;2.22284e+08;8.21839e+07;2.22284e+08;
0;;0;7.61839e+07;2.28784e+08;7.61839e+07;2.22284e+08;
0;;0;8.21839e+07;2.22284e+08;8.21839e+07;2.28784e+08;
0;;0;1.59184e+08;2.22899e+08;1.59184e+08;2.28169e+08;
0;;0;1.59184e+08;2.22199e+08;1.59184e+08;2.22899e+08;
0;;0;1.59184e+08;2.22199e+08;1.57184e+08;2.22199e+08;
